,Date,District,PCR_Postive_Count,PCR_Positive_Hospitalised,Deceased,temperature,wind_speed,relative_humidity
6507,2022-03-06,KS Ludwigshafen,31,0,0,3.436,11.432,48.8
6508,2022-03-06,KS Mainz,99,0,0,2.852,13.884,53.44
6509,2022-03-06,Vulkaneifel,180,0,0,-0.74,9.62,60.28
6510,2022-03-07,Donnersbergkreis,38,0,0,-1.464,25.872,57.32
6511,2022-03-07,Bad Kreuznach,607,2,0,0.952,10.944,54.72
6512,2022-03-07,Bernkastel-Wittlich,135,1,0,-1.5,19.348,50.64
6513,2022-03-07,Birkenfeld,158,0,0,-0.756,11.168,52.64
6514,2022-03-07,Rhein-Lahn-Kreis,334,5,0,1.312,10.944,58.88
6515,2022-03-07,Germersheim,569,0,0,-1.4,25.872,47.8
6516,2022-03-07,KS Worms,74,1,2,1.14,11.64,53.48
6517,2022-03-07,Kusel,178,1,0,-1.304,19.448,53.52
6518,2022-03-07,Mainz-Bingen,539,0,0,1.312,17.544,51.76
6519,2022-03-07,Mayen-Koblenz,696,2,0,0.896,8.86,58.88
6520,2022-03-07,Neuwied,263,1,0,-0.052,8.86,57.28
6521,2022-03-07,Cochem-Zell,57,2,0,-1.604,14.82,57.6
6522,2022-03-07,KS Speyer,144,2,0,2.028,11.64,47.8
6523,2022-03-07,Kaiserslautern,236,5,1,0.348,25.872,53.52
6524,2022-03-07,Altenkirchen,247,0,0,1.024,17.264,50.76
6525,2022-03-07,Westerwaldkreis,450,4,2,-1.184,17.264,57.32
6526,2022-03-07,Trier-Saarburg,312,13,1,0.732,18.112,50.12
6527,2022-03-07,KS Trier,236,7,2,0.732,18.112,50.12
6528,2022-03-07,Vulkaneifel,35,0,0,-1.604,14.82,62.88
6529,2022-03-07,KS Frankenthal,123,2,2,1.14,11.64,53.48
6530,2022-03-07,KS Pirmasens,40,2,0,0.288,20.352,52.28
6531,2022-03-07,KS Koblenz,346,2,0,0.896,8.86,58.88
6532,2022-03-07,Ahrweiler,278,0,0,-0.052,14.82,62.88
6533,2022-03-07,KS Ludwigshafen,401,5,0,1.784,11.64,49.12
