,Date,District,PCR_Postive_Count,PCR_Positive_Hospitalised,Deceased,temperature,wind_speed,relative_humidity
3622,2021-11-30,KS Speyer,55,3,1,3.512,19.264,84.64
3623,2021-11-30,Kusel,30,4,0,2.008,29.684,90.12
3624,2021-11-30,KS Neustadt a.d.W.,45,4,1,0.448,67.144,97.2
3625,2021-11-30,KS Pirmasens,9,0,0,1.444,29.892,95.6
3626,2021-11-30,Vulkaneifel,39,2,0,3.056,21.988,78.4
3627,2021-11-30,KS Trier,38,2,0,3.56,30.828,92.24
3628,2021-11-30,KS Worms,60,2,0,4.808,19.264,80.64
3629,2021-11-30,Mayen-Koblenz,66,2,0,6.276,15.004,81.96
3630,2021-12-01,Rhein-Lahn-Kreis,52,2,0,7.08,17.136,79.36
3631,2021-12-01,Ahrweiler,80,4,0,8.184,21.308,75.24
3632,2021-12-01,Altenkirchen,90,2,0,5.964,25.504,89.56
3633,2021-12-01,Alzey-Worms,94,2,0,5.936,17.136,87.52
3634,2021-12-01,Bernkastel-Wittlich,54,1,0,5.744,31.028,91.72
3635,2021-12-01,Birkenfeld,0,0,0,4.632,18.74,92.96
3636,2021-12-01,Donnersbergkreis,49,1,0,3.8,34.172,96.08
3637,2021-12-01,Bad Kreuznach,59,1,0,7.36,17.136,78.6
3638,2021-12-01,Cochem-Zell,39,1,0,4.448,21.308,91.2
3639,2021-12-01,Germersheim,142,6,2,5.204,42.612,81.16
3640,2021-12-01,Kaiserslautern,91,0,0,5.468,47.62857143,89.52
3641,2021-12-01,Mainz-Bingen,97,0,0,7.08,32.948,87.52
3642,2021-12-01,Mayen-Koblenz,96,0,1,8.012,16.472,79.36
3643,2021-12-01,Rhein-Pfalz-Kreis,126,2,0,7.328,21.74,79.08
3644,2021-12-01,Neuwied,192,6,0,5.74,16.472,90.56
3645,2021-12-01,Kusel,48,2,0,4.696,29.156,89.52
3646,2021-12-01,KS Landau i.d.Pf.,55,3,0,6.148,42.612,87.88
3647,2021-12-01,Trier-Saarburg,113,0,0,5.744,31.028,91.8
3648,2021-12-01,Vulkaneifel,45,2,0,4.448,21.308,75.24
3649,2021-12-01,Westerwaldkreis,76,2,1,3.828,25.504,94.48
3650,2021-12-01,KS Frankenthal,44,0,0,7.072,21.74,83.48
3651,2021-12-01,KS Kaiserslautern,95,1,0,5.468,47.62857143,89.52
3652,2021-12-01,KS Ludwigshafen,108,3,2,6.724,21.74,86.76
3653,2021-12-01,KS Mainz,99,0,0,6.876,29.096,87.52
3654,2021-12-01,KS Neustadt a.d.W.,45,0,0,3.404,50.24,97.92
3655,2021-12-01,KS Pirmasens,40,1,0,4.684,29.156,94.16
3656,2021-12-01,KS Speyer,54,1,0,7.3,21.74,81.16
3657,2021-12-01,KS Trier,48,2,1,5.744,31.028,91.8
3658,2021-12-01,KS Worms,58,2,0,7.072,21.74,83.48
3659,2021-12-01,KS Koblenz,39,0,0,8.012,16.472,79.36
3660,2021-12-02,KS Worms,83,3,0,3.804,9.248,83.56
3661,2021-12-02,KS Trier,38,6,0,2.524,10.532,85.32
3662,2021-12-02,KS Speyer,55,2,0,4.264,9.248,83.48
3663,2021-12-02,KS Pirmasens,31,2,0,2.148,16.008,89.88
3664,2021-12-02,KS Neustadt a.d.W.,69,0,0,0.492,30.176,96.56
3665,2021-12-02,KS Mainz,84,4,1,3.632,13.88,86.24
3666,2021-12-02,KS Kaiserslautern,94,0,0,3.184,30.176,83.92
3667,2021-12-02,KS Landau i.d.Pf.,10,2,0,3.468,30.176,84.92
3668,2021-12-02,KS Koblenz,72,0,0,4.004,8.736,79.88
3669,2021-12-02,KS Frankenthal,47,1,0,3.804,9.248,83.56
3670,2021-12-02,Westerwaldkreis,83,3,1,-0.228,13.448,93.36
3671,2021-12-02,Vulkaneifel,26,1,0,0.1,11.072,79.52
3672,2021-12-02,KS Ludwigshafen,102,6,0,4.132,9.248,83.6
3673,2021-12-02,Rhein-Pfalz-Kreis,143,3,0,4.496,9.248,75.84
3674,2021-12-02,Trier-Saarburg,67,8,0,2.524,10.532,85.32
3675,2021-12-02,Rhein-Lahn-Kreis,43,3,0,3.632,9.228,79.88
3676,2021-12-02,Cochem-Zell,35,2,0,0.1,11.072,90.92
3677,2021-12-02,Germersheim,185,5,3,0.492,30.176,83.48
3678,2021-12-02,Neuwied,162,3,0,1.66,8.736,90.32
3679,2021-12-02,Mayen-Koblenz,106,1,0,4.004,8.736,79.88
3680,2021-12-02,Mainz-Bingen,95,2,0,3.632,15.596,86.24
3681,2021-12-02,Kaiserslautern,95,1,0,3.184,30.176,83.92
3682,2021-12-02,Donnersbergkreis,63,1,0,1.104,30.176,90.2
3683,2021-12-02,Kusel,52,2,1,2.412,14.844,83.92
3684,2021-12-02,Birkenfeld,63,1,1,1.944,9.372,84.92
3685,2021-12-02,Bernkastel-Wittlich,57,0,0,2.524,10.532,85.56
3686,2021-12-02,Bad Kreuznach,84,2,0,4.284,9.228,77.44
3687,2021-12-02,Alzey-Worms,145,3,0,3.14,9.228,86.24
3688,2021-12-02,Altenkirchen,64,3,0,1.684,13.448,91.36
3689,2021-12-02,Ahrweiler,63,5,1,3.54,11.072,79.52
3690,2021-12-03,Altenkirchen,88,2,0,0.844,17.572,88.96
3691,2021-12-03,Alzey-Worms,118,5,0,0.956,10.872,84.04
3692,2021-12-03,Bad Kreuznach,68,1,1,1.976,10.872,77.4
3693,2021-12-03,Bernkastel-Wittlich,34,1,0,0.88,21.324,88.48
3694,2021-12-03,Birkenfeld,55,1,1,-0.14,13.744,89.04
3695,2021-12-03,Ahrweiler,73,6,0,2.46,14.548,76.28
3696,2021-12-03,Germersheim,167,2,3,-1.792,30.928,76.2
3697,2021-12-03,Kaiserslautern,88,0,-1,0.692,30.928,81.72
3698,2021-12-03,Mainz-Bingen,60,2,1,1.444,18.58,84.04
3699,2021-12-03,Mayen-Koblenz,96,1,0,2.24,10.804,81.44
3700,2021-12-03,Neuwied,127,3,1,0.448,10.804,90.48
3701,2021-12-03,Rhein-Lahn-Kreis,72,1,0,1.444,10.872,81.44
3702,2021-12-03,Cochem-Zell,34,1,0,-0.424,14.548,89.84
3703,2021-12-03,Donnersbergkreis,51,0,0,-1.096,30.928,89.56
3704,2021-12-03,Rhein-Pfalz-Kreis,224,3,1,1.988,11.856,74.8
3705,2021-12-03,Kusel,66,2,1,-0.116,18.512,81.72
3706,2021-12-03,Vulkaneifel,20,0,0,-0.424,14.548,76.28
3707,2021-12-03,Westerwaldkreis,101,1,0,-1.364,17.572,91.36
3708,2021-12-03,KS Frankenthal,60,1,0,1.508,11.856,81.92
3709,2021-12-03,KS Kaiserslautern,98,0,0,0.692,30.928,81.72
3710,2021-12-03,KS Koblenz,52,0,1,2.24,10.804,81.44
3711,2021-12-03,KS Landau i.d.Pf.,30,1,1,1.416,30.928,79.2
3712,2021-12-03,KS Neustadt a.d.W.,88,4,0,-1.792,30.928,91.8
3713,2021-12-03,KS Mainz,82,1,0,1.084,17.136,84.04
3714,2021-12-03,KS Pirmasens,46,4,1,-0.456,17.98,88.68
3715,2021-12-03,KS Speyer,107,4,1,2.02,11.856,76.2
3716,2021-12-03,KS Trier,50,0,0,0.88,21.324,88.48
3717,2021-12-03,KS Worms,80,0,2,1.508,11.856,81.92
3718,2021-12-03,KS Ludwigshafen,178,2,0,1.872,11.856,80.44
3719,2021-12-03,Trier-Saarburg,50,0,0,0.88,21.324,88.48
3720,2021-12-04,Neuwied,106,0,0,2.216,7.688,95.4
3721,2021-12-04,Rhein-Lahn-Kreis,6,0,0,2.936,8.056,88.4
3722,2021-12-04,Mainz-Bingen,84,0,0,2.936,10.616,94.52
3723,2021-12-04,Altenkirchen,16,0,0,2.68,15.46,92.16
3724,2021-12-04,Alzey-Worms,31,2,0,2.596,8.056,94.52
3725,2021-12-04,Mayen-Koblenz,0,0,0,4.0,7.688,88.4
3726,2021-12-04,Bernkastel-Wittlich,9,0,0,2.932,11.24,92.32
3727,2021-12-04,Donnersbergkreis,0,0,0,2.22,32.372,95.6
3728,2021-12-04,Bad Kreuznach,46,0,0,2.948,8.056,93.04
3729,2021-12-04,Cochem-Zell,7,1,0,1.596,11.276,94.28
3730,2021-12-04,KS Landau i.d.Pf.,8,0,0,4.68,32.372,89.96
3731,2021-12-04,Germersheim,0,0,0,2.528,32.372,86.0
3732,2021-12-04,Kaiserslautern,0,0,0,3.732,32.372,91.12
3733,2021-12-04,Kusel,15,0,0,2.38,13.432,91.12
3734,2021-12-04,Birkenfeld,31,0,0,1.768,7.744,94.12
3735,2021-12-04,Ahrweiler,42,0,0,4.3,11.276,84.56
3736,2021-12-04,KS Speyer,23,0,0,4.792,9.46,86.0
3737,2021-12-04,KS Worms,33,1,0,3.784,9.46,90.64
3738,2021-12-04,KS Trier,26,0,0,2.932,11.24,92.28
3739,2021-12-04,Vulkaneifel,19,2,1,1.596,11.276,84.56
3740,2021-12-04,Rhein-Pfalz-Kreis,58,1,0,3.968,9.46,85.36
3741,2021-12-04,Trier-Saarburg,87,0,0,2.932,11.24,92.28
3742,2021-12-04,Westerwaldkreis,31,2,0,0.176,15.46,96.68
3743,2021-12-04,KS Kaiserslautern,0,0,0,3.732,32.372,91.12
3744,2021-12-04,KS Koblenz,0,0,0,4.0,7.688,88.4
3745,2021-12-04,KS Ludwigshafen,40,1,0,4.684,9.46,89.08
3746,2021-12-04,KS Mainz,69,0,1,2.264,10.448,94.52
3747,2021-12-04,KS Neustadt a.d.W.,43,0,0,2.528,32.372,96.28
3748,2021-12-04,KS Pirmasens,6,0,0,3.708,18.996,94.64
3749,2021-12-04,KS Frankenthal,10,0,0,3.784,9.46,90.64
3750,2021-12-05,Neuwied,80,1,0,2.348,6.42,88.68
3751,2021-12-05,Ahrweiler,17,0,0,4.14,10.428,78.16
3752,2021-12-05,Altenkirchen,18,0,0,2.568,11.228,85.76
3753,2021-12-05,Alzey-Worms,73,0,0,3.232,6.276,89.16
3754,2021-12-05,Bad Kreuznach,25,0,0,3.68,6.276,91.4
3755,2021-12-05,Bernkastel-Wittlich,0,0,0,2.916,14.516,88.88
3756,2021-12-05,Birkenfeld,26,1,0,1.472,6.304,92.72
3757,2021-12-05,Germersheim,0,0,0,0.92,18.448,83.64
3758,2021-12-05,Cochem-Zell,0,0,0,1.5,10.428,91.08
3759,2021-12-05,Donnersbergkreis,0,0,0,1.4,18.448,91.72
3760,2021-12-05,Kaiserslautern,0,0,0,2.656,18.448,86.48
3761,2021-12-05,Kusel,18,1,0,1.952,12.348,86.48
3762,2021-12-05,Mainz-Bingen,8,0,1,3.68,11.132,89.16
3763,2021-12-05,Mayen-Koblenz,0,0,0,4.016,6.42,83.28
3764,2021-12-05,Rhein-Pfalz-Kreis,40,0,0,4.044,8.696,83.6
3765,2021-12-05,KS Ludwigshafen,26,0,0,4.156,8.696,86.6
3766,2021-12-05,KS Koblenz,0,0,0,4.016,6.42,83.28
