Stadt,PCR_pos_N,Inz1,Inz1b,Inz1c,Inz1d,Inz1e,Inz1f,PCR_pos_Hosp,Inz2,N3,Inz3,Inz3c,Inz3d,Inz3e,Inz3f,PCR_pos_Dec,N5,Inz5c,Inz5d,Inz5e,Inz5f,Week,avg_temperature_per_day,max_temp_per_day,min_temp_per_day,max - min temp
KS Frankenthal,109,223.58973693847656,223.58973693847656,403.1551208496094,307.3484191894531,245.31488037109372,95.89041137695312,1,2.0512821674346924,0,0.0,0.0,0.0,0.0,0.0,10,10,0,0,2,8,2021KW52,9.7872,12.0,7.44,4.56
Germersheim,256,198.4403839111328,198.41270446777344,209.4453125,253.6268615722656,233.7307281494141,112.88235473632812,2,1.55009925365448,1,0.77504962682724,0.0,0.0,0.0,2.753228187561035,23,23,0,0,1,22,2021KW52,7.678399999999999,9.48,6.540000000000001,2.94
KS Landau i.d.Pf.,61,130.66294860839844,130.65736389160156,103.8421630859375,214.26385498046875,174.9847869873047,24.360536575317386,1,2.1419239044189453,0,0.0,0.0,0.0,0.0,0.0,7,6,0,0,0,6,2021KW52,9.7288,12.179999999999998,7.6800000000000015,4.5
KS Ludwigshafen,282,163.42425537109375,163.4185791015625,226.66485595703125,260.59115600585943,178.5467529296875,67.482666015625,4,2.3179941177368164,2,1.1589970588684082,0.0,0.0,1.0627783536911009,2.3269884586334233,14,13,0,0,3,10,2021KW52,10.0936,12.22,8.0,4.2200000000000015
KS Neustadt a.d.W.,111,208.23171997070312,208.19656372070312,556.2315063476561,236.5930633544922,243.4756164550781,34.35835647583008,2,3.75128960609436,0,0.0,0.0,0.0,0.0,0.0,4,4,0,0,1,3,2021KW52,7.678399999999999,9.48,6.540000000000001,2.94
Rhein-Pfalz-Kreis,196,126.65262603759766,126.64935302734376,254.35443115234372,154.22299194335938,140.70094299316406,48.45573806762695,6,3.877020835876465,5,3.2308506965637207,0.0,0.0,2.5581989288330083,6.320313453674316,12,11,0,0,1,10,2021KW52,10.372800000000002,12.9,8.059999999999999,4.840000000000002
KS Speyer,75,147.80946350097656,147.79490661621094,166.63580322265625,322.84100341796875,168.06723022460938,64.75425720214844,2,3.941197395324707,2,3.941197395324707,0.0,0.0,0.0,12.950851440429688,4,4,0,0,0,4,2021KW52,10.284,12.52,8.34,4.18
Sudliche Weinstr.,162,146.23182678222656,146.23182678222656,196.27923583984372,215.7360382080078,177.3970947265625,65.01215362548828,3,2.7079966068267822,1,0.9026655554771424,0.0,0.0,0.0,2.826615333557129,8,8,0,0,0,8,2021KW52,10.372800000000002,12.9,8.059999999999999,4.840000000000002
Bernkastel-Wittlich,105,93.18010711669922,91.85066223144531,171.93385314941406,133.70608520507812,107.01378631591795,34.050281524658196,2,1.7495363950729368,1,0.8747681975364685,0.0,0.0,1.754324436187744,0.0,3,1,0,0,0,1,2021KW52,8.6192,10.44,7.039999999999999,3.4
Bitburg-Prum,120,119.9340362548828,116.17662811279295,229.0143585205078,93.82120513916016,131.53129577636722,62.5390853881836,4,3.872554302215576,0,0.0,0.0,0.0,0.0,0.0,6,6,0,0,0,6,2021KW52,9.292800000000002,11.38,7.459999999999999,3.92
Trier-Saarburg,125,83.03826904296875,82.95891571044922,82.33356475830078,77.97608947753906,111.9265365600586,32.28484344482422,1,0.6636713147163391,1,0.6636713147163391,0.0,0.0,1.2718924283981323,0.0,4,3,0,0,0,3,2021KW52,9.292800000000002,11.38,7.459999999999999,3.92
KS Trier,131,118.36565399169922,118.30792236328124,274.80078125,202.0746307373047,111.1500244140625,48.7676773071289,0,0.0,0,0.0,0.0,0.0,0.0,0.0,4,3,0,0,0,3,2021KW52,9.292800000000002,11.38,7.459999999999999,3.92
Vulkaneifel,94,155.39501953125,155.36419677734375,334.72802734375,115.8748550415039,183.53521728515625,69.19046783447266,5,8.264053344726562,3,4.9584317207336435,0.0,0.0,3.3370039463043213,9.884352684020996,5,0,0,0,0,0,2021KW52,8.1096,9.88,6.42,3.4599999999999995
Donnersbergkreis,78,103.25791931152344,102.27496337890624,159.29420471191406,186.37750244140625,107.42546081542969,55.77005386352539,0,0.0,0,0.0,0.0,0.0,0.0,0.0,8,7,0,0,1,6,2021KW52,8.1528,9.86,6.44,3.4200000000000004
Kaiserslautern,221,207.8630523681641,178.6103973388672,292.4426574707031,510.57623291015625,238.4512023925781,46.49865341186523,2,1.616383671760559,0,0.0,0.0,0.0,0.0,0.0,8,5,0,0,0,5,2021KW52,9.6224,11.74,7.7200000000000015,4.0200000000000005
KS Kaiserslautern,268,268.90890502929693,252.4396209716797,154.76881408691406,615.24609375,321.0446472167969,121.25220489501952,1,0.9419388771057128,0,0.0,0.0,0.0,0.0,0.0,14,5,0,0,0,5,2021KW52,9.6224,11.74,7.7200000000000015,4.0200000000000005
Kusel,83,118.39383697509766,112.34890747070312,215.8370361328125,164.33853149414062,145.56040954589844,38.34029006958008,5,6.768006324768066,1,1.3536012172698977,0.0,0.0,2.911208152770996,0.0,3,3,0,0,1,2,2021KW52,8.475999999999999,10.48,6.5,3.98
KS Pirmasens,58,144.3647918701172,144.31809997558594,337.5120544433594,287.1500244140625,147.4401397705078,51.572975158691406,2,4.976486206054688,1,2.488243103027344,0.0,0.0,5.084142684936523,0.0,6,3,0,0,0,3,2021KW52,8.968,11.0,7.739999999999998,3.26
Sudwestpfalz,86,90.6102523803711,89.48545837402344,109.96261596679688,144.25389099121094,122.09489440917969,30.40068054199219,1,1.0405285358428955,1,1.0405285358428955,0.0,0.0,2.1420156955718994,0.0,8,4,0,0,0,4,2021KW52,8.968,11.0,7.739999999999998,3.26
KS Zweibrucken,49,144.1134033203125,144.03292846679688,257.28988647460943,120.3852310180664,167.52354431152344,74.766357421875,2,5.878894805908202,1,2.9394474029541016,0.0,0.0,0.0,9.345794677734377,0,0,0,0,0,0,2021KW52,9.2784,11.34,7.68,3.66
Ahrweiler,2191,1679.1973876953125,1679.1973876953125,1773.900390625,2885.042236328125,2149.99072265625,681.7969360351562,5,3.832034349441528,0,0.0,0.0,0.0,0.0,0.0,6,6,0,0,0,6,2022KW10,9.288,17.2,1.0,16.2
Altenkirchen,1647,1275.8836669921875,1275.8836669921875,1512.7109375,2134.208984375,1592.6669921875,449.39825439453125,5,3.873356819152832,3,2.324013948440552,0.0,0.0,1.522626280784607,5.077946662902832,6,4,0,0,0,4,2022KW10,8.872,15.0,3.0,12.0
Cochem-Zell,1199,1947.1240234375,1945.638916015625,2062.374267578125,4666.0771484375,2294.236572265625,792.176025390625,5,8.113590240478517,0,0.0,0.0,0.0,0.0,0.0,2,1,0,0,0,1,2022KW10,8.32,14.2,4.4,9.8
KS Koblenz,1290,1137.6865234375,1137.6463623046875,1030.749267578125,2338.785888671875,1370.1700439453125,444.13861083984375,2,1.763792872428894,0,0.0,0.0,0.0,0.0,0.0,2,2,0,0,0,2,2022KW10,7.407999999999999,16.2,-1.2,17.4
Mayen-Koblenz,2420,1126.702880859375,1126.702880859375,1317.511962890625,1828.7718505859373,1390.7752685546875,432.7933654785156,3,1.39673912525177,2,0.9311593770980836,4.222794532775879,0.0,0.9054526090621948,0.0,3,3,0,0,0,3,2022KW10,7.407999999999999,16.2,-1.2,17.4
Neuwied,2198,1200.2337646484375,1200.2337646484375,1235.8145751953125,1778.8360595703125,1521.7955322265625,501.18988037109375,3,1.6381715536117554,0,0.0,0.0,0.0,0.0,0.0,5,5,0,0,0,5,2022KW10,8.536,14.4,3.6,10.8
Rhein-Hunsruck,1428,1381.0311279296875,1380.9776611328125,1763.3828125,2514.256103515625,1726.919921875,427.5344543457031,3,2.9012136459350586,0,0.0,0.0,0.0,0.0,0.0,4,2,0,0,0,2,2022KW10,7.087999999999999,12.3,1.7,10.6
Rhein-Lahn-Kreis,1665,1358.3631591796875,1358.3187255859375,1482.72705078125,2089.8876953125,1593.052001953125,774.0137939453125,12,9.789685249328613,1,0.8158071041107178,7.642922878265381,0.0,0.0,0.0,2,2,0,0,1,1,2022KW10,8.144,14.2,0.5,13.7
Westerwaldkreis,2941,1449.9827880859375,1449.9827880859375,1706.6053466796875,2657.9130859375,1727.6239013671875,537.3800048828125,12,5.9162845611572275,4,1.9720948934555051,0.0,0.0,1.8984878063201904,3.3797485828399663,17,15,0,0,0,15,2022KW10,6.944,11.6,1.7,9.9
Alzey-Worms,1425,1090.157958984375,1089.8662109375,1485.9622802734375,1635.4207763671875,1272.8050537109375,456.5361633300781,18,13.766730308532715,4,3.0592734813690186,0.0,0.0,5.899444103240968,0.0,7,4,0,0,0,4,2022KW10,7.336,14.4,-0.1,14.5
Bad Kreuznach,2965,1867.7635498046875,1867.587158203125,2312.406005859375,3788.329345703125,2238.14013671875,674.6506958007812,6,3.7792656421661377,1,0.6298776268959045,0.0,0.0,0.0,1.9960080385208132,2,2,0,0,0,2,2022KW10,7.416,15.2,0.2,15.0
Birkenfeld,918,1135.7169189453125,1102.46435546875,1509.171142578125,1844.892333984375,1281.7283935546875,641.6510620117188,1,1.200941562652588,0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,1,2022KW10,6.26,13.1,-0.6,13.7
Mainz-Bingen,2817,1331.7574462890625,1330.914306640625,1752.7374267578125,2692.7265625,1502.7535400390625,493.56573486328125,20,9.449161529541016,8,3.779664516448975,0.0,0.0,1.8326262235641482,9.773578643798828,9,4,0,0,0,4,2022KW10,8.144,14.2,0.5,13.7
KS Mainz,3277,1509.28271484375,1508.0533447265625,1258.2545166015625,2667.8203125,1827.7763671875,479.540283203125,40,18.40773200988769,9,4.141739368438722,0.0,0.0,3.835032224655152,7.926285743713379,6,2,0,0,0,2,2022KW10,8.532,15.3,0.9,14.4
KS Worms,928,1111.9232177734377,1111.9232177734377,1676.5487060546875,1519.615478515625,1237.347900390625,524.4379272460939,10,11.981931686401367,3,3.5945794582366943,10.222858428955078,0.0,2.274536609649658,4.2986717224121085,8,3,0,0,0,3,2022KW10,6.688,15.4,-2.4,17.8
Bad Durkheim,1892,1422.5135498046875,1422.2142333984375,2211.587158203125,2084.44677734375,1693.0928955078125,625.2139282226562,12,9.0203857421875,0,0.0,0.0,0.0,0.0,0.0,6,2,0,0,0,2,2022KW10,7.0920000000000005,14.2,-0.9,15.1
KS Frankenthal,454,931.2820434570312,931.2820434570312,1016.6520385742188,1899.9720458984373,1122.0140380859377,335.6164245605469,1,2.0512821674346924,1,2.0512821674346924,0.0,0.0,0.0,6.849315166473389,5,5,0,0,0,5,2022KW10,6.688,15.4,-2.4,17.8
Germersheim,2056,1593.724365234375,1593.501953125,1891.7640380859373,2201.481201171875,1849.2657470703125,828.7216796875,7,5.425347328186035,2,1.55009925365448,0.0,0.0,0.0,5.50645637512207,1,1,0,0,0,1,2022KW10,7.428,11.7,2.7,9.0
KS Landau i.d.Pf.,539,1154.54638671875,1154.4969482421875,1453.790283203125,2050.81103515625,1365.64208984375,349.1676940917969,2,4.2838478088378915,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2022KW10,9.184,14.1,2.9,11.2
KS Ludwigshafen,1336,774.2369384765625,774.2100219726562,616.5283813476562,1094.48291015625,881.043212890625,521.2454223632811,9,5.215486526489258,3,1.7384954690933228,4.533297061920166,0.0,0.0,4.653976917266847,14,11,0,0,0,11,2022KW10,7.524,16.0,-1.3,17.3
KS Neustadt a.d.W.,724,1358.196044921875,1357.966796875,1564.401123046875,2392.21875,1616.8302001953125,675.71435546875,6,11.253868103027344,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2022KW10,7.428,11.7,2.7,9.0
Rhein-Pfalz-Kreis,1285,830.35009765625,830.32861328125,884.7110595703125,1306.359375,990.0230102539062,436.10162353515625,5,3.2308506965637207,3,1.9385104179382324,0.0,0.0,0.0,6.320313453674316,8,8,0,0,0,8,2022KW10,7.0920000000000005,14.2,-0.9,15.1
KS Speyer,447,880.9443969726562,880.8576049804688,907.2393798828124,1452.7845458984375,1054.2398681640623,440.3289489746094,3,5.9117960929870605,1,1.9705986976623533,0.0,0.0,0.0,6.475425720214844,0,0,0,0,0,0,2022KW10,9.272,17.5,1.5,16.0
Sudliche Weinstr.,1194,1077.78271484375,1077.78271484375,1493.428955078125,1878.172607421875,1320.622802734375,378.7664794921875,11,9.9293212890625,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2022KW10,7.0920000000000005,14.2,-0.9,15.1
Bernkastel-Wittlich,1653,1466.9210205078125,1445.9918212890625,1711.151123046875,2698.431884765625,1791.165283203125,570.3422241210938,11,9.62244987487793,1,0.8747681975364685,0.0,0.0,0.0,2.837523460388184,8,5,0,0,0,5,2022KW10,9.212,14.4,5.8,8.6
